Sample Text;#number;Name;Date;Time;Code;Type;Project;O2 (mg/l);NO3 (mg/l);DOC (mg/l);TOC (mg/l);T (C);pH;eH (mV);EC (uS/cm);Alk (pulses/ 5 ml);Abs. Volume;Total abs. Volume;ICP_Li (ug/l);ICP_Be (ug/l);ICP_B (ug/l);ICP_Na (ug/l);ICP_Mg26 (ug/l);ICP_Al (ug/l);ICP_Si (ug/l);ICP_P (ug/l);ICP_S (ug/l);ICP_K (ug/l);ICP_Ca (ug/l);ICP_Ti (ug/l);ICP_V (ug/l);ICP_Cr (ug/l);ICP_Mn (ug/l);ICP_Fe56 (ug/l);ICP_Fe57 (ug/l);ICP_Co (ug/l);ICP_Ni (ug/l);ICP_Cu (ug/l);ICP_Zn (ug/l);ICP_As (ug/l);ICP_Se (ug/l);ICP_Sr (ug/l);ICP_Mo (ug/l);ICP_Ag (ug/l);ICP_Cd (ug/l);ICP_Sb (ug/l);ICP_Ba (ug/l);ICP_Pb (ug/l);IC_Na (mg/l);IC_NH4 (mg/l);IC_K (mg/l);IC_Mg (mg/l);IC_Ca (mg/l);IC_F (mg/l);IC_Ac (mg/l);IC_Cl (mg/l);IC_NO2 (mg/l);IC_Br (mg/l);IC_NO3 (mg/l);IC_PO4 (mg/l);IC_SO4 (mg/l);ICPOES_PO4 (mg/l);"Compound 1:  Atrazine
";"Compound 2:  Atrazine-d5
";"Compound 3:  Azoystrobin
";"Compound 4:  Bentazone
";"Compound 5:  Bentazone-d7
";"Compound 6:  Boscalid
";"Compound 7:  Chlordiazon
";"Compound 8:  Chlordiazon-Desphenyl
";"Compound 9:  Chlordiazon-Methyl-Desphenyl
";"Compound 10:  Cycloydim
";"Compound 11:  Fluopicolide
";"Compound 12:  Fluopyram
";"Compound 13:  Flutolanil
";"Compound 14:  Glyphosate
";"Compound 15:  Imidacloprid
";"Compound 16:  Imidacloprid-d4
";"Compound 17:  Metamitron
";"Compound 18:  Methoyfenozide
";"Compound 19:  Pencycuron
";"Compound 20:  Pendimethalin
";"Compound 21:  Prochloraz
";"Compound 22:  Pyraclostrobin
";"Compound 23:  Tebuconazole
";"Compound 24:  Trifloystrobin
";"Compound 25:  Trifloystrobin-d6
";"Compound 26:  Clarithromycin
";DA_N-NH4;DA-P-PO4;DA-Alk
PZ1-INF;8;PZ1;25-2-2019;18:50;INF;Sensor;PPT1;9.5;-99;-99;;10.8;8;157;2170;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ1-INF;9;PZ1;25-2-2019;19:47;INF;Sensor;PPT1;7.8;-99;-99;;9.2;7.8;-18;2205;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;20;PZ2;26-2-2019;12:30;INF;Sensor;PPT1;6.4;-99;-99;;11.8;7;-25;1999;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;21;PZ2;26-2-2019;12:45;INF;Sensor;PPT1;8.5;-99;-99;;10.4;7.3;102;2010;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;22;PZ2;26-2-2019;13:00;INF;Sensor;PPT1;8.4;-99;-99;;10.9;7.33;121.2;2003;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;23;PZ2;26-2-2019;13:30;INF;Sensor;PPT1;7.78;-99;-99;;11.6;7.3;137.4;2002;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;24;PZ2;26-2-2019;14:00;INF;Sensor;PPT1;8.35;-99;-99;;12.6;7.3;147.6;2001;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;25;PZ2;26-2-2019;14:15;INF;Sensor;PPT1;8.9;-99;-99;;12.7;7.3;158.6;1998;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;26;PZ2;26-2-2019;14:45;INF;Sensor;PPT1;8.7;-99;-99;;13;7.4;171.9;2003;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;27;PZ2;26-2-2019;15:15;INF;Sensor;PPT1;9.3;-99;-99;;13.5;7.4;190.5;1998;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ2-INF;28;PZ2;26-2-2019;15:30;INF;Sensor;PPT1;8.9;-99;-99;;13.9;7.4;197.4;1994;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;40;PZ3;27-2-2019;11:00;INF;Sensor;PPT1;5.8;-99;-99;;10.9;7.2;100.5;2148;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;41;PZ3;27-2-2019;11:15;INF;Sensor;PPT1;6.8;-99;-99;;10.8;7.6;151;2125;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;42;PZ3;27-2-2019;11:30;INF;Sensor;PPT1;7.3;-99;-99;;11.3;7.6;190.5;2137;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;43;PZ3;27-2-2019;11:45;INF;Sensor;PPT1;6.5;-99;-99;;11.4;7.7;197.9;2144;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;44;PZ3;27-2-2019;12:15;INF;Sensor;PPT1;8.3;-99;-99;;11.8;7.7;2247;2151;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;45;PZ3;27-2-2019;12:30;INF;Sensor;PPT1;7.4;-99;-99;;12.1;7.7;227;2149;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;46;PZ3;27-2-2019;12:45;INF;Sensor;PPT1;8.7;-99;-99;;13.3;7.8;235.1;2157;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;47;PZ3;27-2-2019;13:00;INF;Sensor;PPT1;7.9;-99;-99;;12.6;7.8;247.4;2139;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;48;PZ3;27-2-2019;13:15;INF;Sensor;PPT1;7.8;-99;-99;;12.7;7.7;252.2;2148;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;49;PZ3;27-2-2019;14:00;INF;Sensor;PPT1;-99;-99;-99;;13.1;7.7;216.1;2150;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;50;PZ3;27-2-2019;14:15;INF;Sensor;PPT1;7.2;-99;-99;;13.5;7.8;241.4;2149;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;51;PZ3;27-2-2019;14:45;INF;Sensor;PPT1;7.2;-99;-99;;14.1;7.7;239.6;2139;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ3-INF;52;PZ3;27-2-2019;15:15;INF;Sensor;PPT1;6.6;-99;-99;;14.3;7.8;244;2154;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ4-INF;63;PZ4;28-2-2019;11:45;INF;Sensor;PPT1;-99;-99;-99;;7.9;7.2;140.3;1853;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ4-INF;64;PZ4;28-2-2019;12:00;INF;Sensor;PPT1;-99;-99;-99;;8;7.1;62.8;1869;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ4-INF;65;PZ4;28-2-2019;12:30;INF;Sensor;PPT1;6.4;-99;-99;;8.7;7.2;206.6;1857;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ4-INF;66;PZ4;28-2-2019;13:00;INF;Sensor;PPT1;6.2;-99;-99;;8.8;7.3;242.6;1881;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ4-INF;67;PZ4;28-2-2019;13:30;INF;Sensor;PPT1;5.3;-99;-99;;9.8;7.3;233.5;1876;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ4-INF;68;PZ4;28-2-2019;14:00;INF;Sensor;PPT1;7;-99;-99;;10.2;7.3;253.3;1878;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ4-INF;69;PZ4;28-2-2019;14:15;INF;Sensor;PPT1;5.9;-99;-99;;10.3;7.1;90.4;1883;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ5-INF;79;PZ5;1-3-2019;10:00;INF;Sensor;PPT1;4.5;-99;-99;;6.8;7.5;-10;1784;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ5-INF;80;PZ5;1-3-2019;10:15;INF;Sensor;PPT1;5.3;-99;-99;;6.6;7.7;93.4;1768;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ5-INF;81;PZ5;1-3-2019;10:45;INF;Sensor;PPT1;5.4;-99;-99;;6.9;7.7;154.5;1771;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ5-INF;82;PZ5;1-3-2019;11:15;INF;Sensor;PPT1;5.2;-99;-99;;7;7.5;195.5;1772;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ5-INF;83;PZ5;1-3-2019;11:45;INF;Sensor;PPT1;5.08;-99;-99;;7;7.5;206.4;1772;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ5-INF;84;PZ5;1-3-2019;12:15;INF;Sensor;PPT1;6.6;-99;-99;;7.2;7.5;223;1770;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ5-INF;85;PZ5;1-3-2019;12:30;INF;Sensor;PPT1;7.1;-99;-99;;7.2;7.5;228.1;1768;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;96;PZ6;2-3-2019;09:45;INF;Sensor;PPT1;5;-99;-99;;7.6;7.4;63.9;1641;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;97;PZ6;2-3-2019;10:00;INF;Sensor;PPT1;5.3;-99;-99;;7.7;7.4;110;1653;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;98;PZ6;2-3-2019;10:15;INF;Sensor;PPT1;5.2;-99;-99;;7.8;7.5;130.6;1649;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;99;PZ6;2-3-2019;10:45;INF;Sensor;PPT1;5.7;-99;-99;;8.4;7.5;175.8;1647;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;100;PZ6;2-3-2019;11:00;INF;Sensor;PPT1;5.3;-99;-99;;8.8;7.5;180.2;1650;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;101;PZ6;2-3-2019;11:30;INF;Sensor;PPT1;5.6;-99;-99;;9.3;7.5;182.3;1649;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;102;PZ6;2-3-2019;11:45;INF;Sensor;PPT1;5.7;-99;-99;;9.6;7.5;180.5;1664;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;103;PZ6;2-3-2019;12:15;INF;Sensor;PPT1;5.4;-99;-99;;11.5;7.5;185.7;1677;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;104;PZ6;2-3-2019;12:30;INF;Sensor;PPT1;5.6;-99;-99;;11.5;7.5;188.6;1669;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;105;PZ6;2-3-2019;12:45;INF;Sensor;PPT1;5.5;-99;-99;;11.8;7.5;286.3;1668;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;106;PZ6;2-3-2019;13:15;INF;Sensor;PPT1;5.7;-99;-99;;12.3;7.6;195.6;1671;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ6-INF;107;PZ6;2-3-2019;13:30;INF;Sensor;PPT1;6.4;-99;-99;;11.6;7.6;196.6;1679;-99;-99;-99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ1-ABS;160;PZ1;14-3-2019;09:42;ABS;Sensor;PPT1;0;-99;-99;;10.4;6.68;40.71;1696;-99;10;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ1-ABS;161;PZ1;14-3-2019;09:51;ABS;Sensor;PPT1;0;-99;-99;;10.4;6.78;9.3;1685;-99;10;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ1-ABS;163;PZ1;14-3-2019;10:10;ABS;Sensor;PPT1;0;-99;-99;;10.4;6.88;-35.84;1671;-99;10;370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ1-ABS;164;PZ1;14-3-2019;10:20;ABS;Sensor;PPT1;0;-99;-99;;10.4;6.92;-47.45;1685;-99;10;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ1-ABS+;165;PZ1;14-3-2019;10:30;ABS+;Sensor;PPT1;0;0;8.54;;10.4;6.94;-54.65;1654;-99;10;390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ1-ABS;166;PZ1;14-3-2019;10:41;ABS;Sensor;PPT1;0;-99;-99;;10.4;6.96;-59.9;1661;-99;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
